UF;Município;Cargo / Esfera Partidária;Limite de Gastos 1° Turno;Limite de Gastos 2° Turno;Quantidade Limite de Contratação;Eleitorado Apto
MT;ACORIZAL;Prefeito;108039.06;0;60;6036
MT;ACORIZAL;Vereador;10803.91;0;30;6036
MT;ALTA FLORESTA;Prefeito;653076.33;0;308;38279
MT;ALTA FLORESTA;Vereador;29087.67;0;154;38279
MT;ALTO ARAGUAIA;Prefeito;108039.06;0;125;12523
MT;ALTO ARAGUAIA;Vereador;10803.91;0;63;12523
MT;ALTO BOA VISTA;Prefeito;108039.06;0;34;3441
MT;ALTO BOA VISTA;Vereador;10803.91;0;17;3441
MT;ALTO GARÇAS;Prefeito;262652.76;0;74;7352
MT;ALTO GARÇAS;Vereador;10803.91;0;37;7352
MT;ALTO PARAGUAI;Prefeito;108039.06;0;65;6453
MT;ALTO PARAGUAI;Vereador;16484.59;0;33;6453
MT;ALTO TAQUARI;Prefeito;272105.62;0;68;6754
MT;ALTO TAQUARI;Vereador;10803.91;0;34;6754
MT;APIACÁS;Prefeito;108039.06;0;54;5425
MT;APIACÁS;Vereador;10803.91;0;27;5425
MT;ARAGUAIANA;Prefeito;108039.06;0;28;2814
MT;ARAGUAIANA;Vereador;10803.91;0;14;2814
MT;ARAGUAINHA;Prefeito;108039.06;0;10;954
MT;ARAGUAINHA;Vereador;10803.91;0;5;954
MT;ARAPUTANGA;Prefeito;216692.86;0;120;11997
MT;ARAPUTANGA;Vereador;25543.09;0;60;11997
MT;ARENÁPOLIS;Prefeito;108039.06;0;78;7793
MT;ARENÁPOLIS;Vereador;10803.91;0;39;7793
MT;ARIPUANÃ;Prefeito;192966.01;0;128;12846
MT;ARIPUANÃ;Vereador;20147.34;0;64;12846
MT;BARRA DO BUGRES;Prefeito;243820.92;0;233;23294
MT;BARRA DO BUGRES;Vereador;32553.99;0;117;23294
MT;BARRA DO GARÇAS;Prefeito;1312960.93;0;312;41948
MT;BARRA DO GARÇAS;Vereador;83794.59;0;156;41948
MT;BARÃO DE MELGAÇO;Prefeito;108039.06;0;63;6267
MT;BARÃO DE MELGAÇO;Vereador;10803.91;0;32;6267
MT;BOM JESUS DO ARAGUAIA;Prefeito;108039.06;0;46;4648
MT;BOM JESUS DO ARAGUAIA;Vereador;16305.47;0;23;4648
MT;BRASNORTE;Prefeito;108039.06;0;109;10860
MT;BRASNORTE;Vereador;13482.72;0;55;10860
MT;CAMPINÁPOLIS;Prefeito;408297.82;0;93;9317
MT;CAMPINÁPOLIS;Vereador;23209.78;0;47;9317
MT;CAMPO NOVO DO PARECIS;Prefeito;149760.39;0;208;20818
MT;CAMPO NOVO DO PARECIS;Vereador;19097.84;0;104;20818
MT;CAMPO VERDE;Prefeito;281333.28;0;272;27156
MT;CAMPO VERDE;Vereador;40994.52;0;136;27156
MT;CAMPOS DE JÚLIO;Prefeito;165262.01;0;40;3955
MT;CAMPOS DE JÚLIO;Vereador;10803.91;0;20;3955
MT;CANABRAVA DO NORTE;Prefeito;108039.06;0;39;3947
MT;CANABRAVA DO NORTE;Vereador;10803.91;0;20;3947
MT;CANARANA;Prefeito;154659.57;0;145;14462
MT;CANARANA;Vereador;36377.95;0;73;14462
MT;CARLINDA;Prefeito;108039.06;0;74;7403
MT;CARLINDA;Vereador;10803.91;0;37;7403
MT;CASTANHEIRA;Prefeito;108039.06;0;59;5878
MT;CASTANHEIRA;Vereador;10803.91;0;30;5878
MT;CHAPADA DOS GUIMARÃES;Prefeito;108039.06;0;147;14745
MT;CHAPADA DOS GUIMARÃES;Vereador;29351.09;0;74;14745
MT;CLÁUDIA;Prefeito;108039.06;0;78;7788
MT;CLÁUDIA;Vereador;10803.91;0;39;7788
MT;COCALINHO;Prefeito;108039.06;0;44;4439
MT;COCALINHO;Vereador;10803.91;0;22;4439
MT;COLNIZA;Prefeito;420254.41;0;174;17355
MT;COLNIZA;Vereador;28443.5;0;87;17355
MT;COLÍDER;Prefeito;587525.27;0;235;23467
MT;COLÍDER;Vereador;39343.01;0;118;23467
MT;COMODORO;Prefeito;108039.06;0;141;14061
MT;COMODORO;Vereador;18667.58;0;71;14061
MT;CONFRESA;Prefeito;135805.32;0;180;18009
MT;CONFRESA;Vereador;19229.34;0;90;18009
MT;CONQUISTA D'OESTE;Prefeito;149331.51;0;28;2824
MT;CONQUISTA D'OESTE;Vereador;29915.38;0;14;2824
MT;COTRIGUAÇU;Prefeito;108039.06;0;85;8548
MT;COTRIGUAÇU;Vereador;10803.91;0;43;8548
MT;CUIABÁ;Prefeito;9004367.05;2701310.12;685;415100
MT;CUIABÁ;Vereador;492024.46;0;192;415100
MT;CURVELÂNDIA;Prefeito;108039.06;0;41;4059
MT;CURVELÂNDIA;Vereador;10803.91;0;21;4059
MT;CÁCERES;Prefeito;625898.09;0;331;61253
MT;CÁCERES;Vereador;74543.06;0;166;61253
MT;DENISE;Prefeito;146980.43;0;58;5757
MT;DENISE;Vereador;10803.91;0;29;5757
MT;DIAMANTINO;Prefeito;280281.26;0;156;15646
MT;DIAMANTINO;Vereador;26647.18;0;78;15646
MT;DOM AQUINO;Prefeito;108039.06;0;68;6779
MT;DOM AQUINO;Vereador;10803.91;0;34;6779
MT;FELIZ NATAL;Prefeito;147321.56;0;62;6237
MT;FELIZ NATAL;Vereador;10803.91;0;31;6237
MT;FIGUEIRÓPOLIS D'OESTE;Prefeito;108039.06;0;32;3199
MT;FIGUEIRÓPOLIS D'OESTE;Vereador;10803.91;0;16;3199
MT;GAÚCHA DO NORTE;Prefeito;108039.06;0;47;4704
MT;GAÚCHA DO NORTE;Vereador;10803.91;0;24;4704
MT;GENERAL CARNEIRO;Prefeito;219215.54;0;41;4059
MT;GENERAL CARNEIRO;Vereador;20882.23;0;21;4059
MT;GLÓRIA D'OESTE;Prefeito;108039.06;0;26;2633
MT;GLÓRIA D'OESTE;Vereador;10803.91;0;13;2633
MT;GUARANTÃ DO NORTE;Prefeito;108039.06;0;211;21052
MT;GUARANTÃ DO NORTE;Vereador;10803.91;0;106;21052
MT;GUIRATINGA;Prefeito;353529.53;0;86;8587
MT;GUIRATINGA;Vereador;15755.59;0;43;8587
MT;INDIAVAÍ;Prefeito;108039.06;0;19;1883
MT;INDIAVAÍ;Vereador;10803.91;0;10;1883
MT;IPIRANGA DO NORTE;Prefeito;108039.06;0;40;4005
MT;IPIRANGA DO NORTE;Vereador;10803.91;0;20;4005
MT;ITANHANGÁ;Prefeito;108039.06;0;45;4515
MT;ITANHANGÁ;Vereador;10803.91;0;23;4515
MT;ITAÚBA;Prefeito;108039.06;0;43;4252
